Track ID,Track Name,Artist(s),Spotify URL,Artist Name,Genres,Album Name,Album Type,Label,Album Image URL
7rtZvHRXORd1kbfMluhPNM,Abhi Saans Lene Ki Fursat Nahin,"Sonu Nigam, Alka Yagnik",https://open.spotify.com/track/7rtZvHRXORd1kbfMluhPNM,Sonu Nigam,"kannada pop, bollywood, sandalwood, hindi pop, desi, marathi pop",Jeet (Original Motion Picture Soundtrack),album,,https://i.scdn.co/image/ab67616d0000b2737112ba2ed033553e5574dffd
77E9kDXT7gJIkxUaTPu6Ub,Chand Se Parda,Kumar Sanu,https://open.spotify.com/track/77E9kDXT7gJIkxUaTPu6Ub,Kumar Sanu,"bollywood, hindi pop",Aao Pyar Karen,album,,https://i.scdn.co/image/ab67616d0000b273f6a91e3d895fceb3b97c0b6f
1e5W7XCQSyGlq3Lg0l4HBV,Maine Pyar Tumhi Se Kiya Hai,"Anuradha Paudwal, Kumar Sanu",https://open.spotify.com/track/1e5W7XCQSyGlq3Lg0l4HBV,Anuradha Paudwal,"bhajan, marathi pop, devotional, ghazal",Phool Aur Kaante (Original Motion Picture Soundtrack),album,,https://i.scdn.co/image/ab67616d0000b273a833fdb8b4fa93b8491ed25f
34y1d4i8uru6aQSWd8ewPT,Tumse Milne Ko Dil,"Alka Yagnik, Kumar Sanu",https://open.spotify.com/track/34y1d4i8uru6aQSWd8ewPT,Alka Yagnik,"bollywood, hindi pop, desi",Phool Aur Kaante (Original Motion Picture Soundtrack),album,,https://i.scdn.co/image/ab67616d0000b273a833fdb8b4fa93b8491ed25f
43pAU732RtAP2nsovU6n1K,Tum Kya Mile Jaane Jaan,"Lata Mangeshkar, Udit Narayan",https://open.spotify.com/track/43pAU732RtAP2nsovU6n1K,Lata Mangeshkar,"ghazal, bollywood, bhajan, hindi pop, marathi pop",Saatwan Aasman (Original Motion Picture Soundtrack),album,,https://i.scdn.co/image/ab67616d0000b2734f59fe4fb7d218104ae6a512
3MV6JBYaxeTuzF0mIr7bzg,Pyar Hua Chupke Se,"Kavita Krishnamurthy, R. D. Burman",https://open.spotify.com/track/3MV6JBYaxeTuzF0mIr7bzg,Kavita Krishnamurthy,"bollywood, gujarati garba, hindi pop",1942 A Love Story,album,,https://i.scdn.co/image/ab67616d0000b27313e0f656d7fc4be63a45918e
0dUbhFM18NyBDDpiktEQLk,Ae Mere Humsafar,"Alka Yagnik, Udit Narayan",https://open.spotify.com/track/0dUbhFM18NyBDDpiktEQLk,Alka Yagnik,"bollywood, hindi pop, desi",Qayamat Se Qayamat Tak,single,,https://i.scdn.co/image/ab67616d0000b273f5fc91a05e4380122d8359b3
4DjcBr310LtxxR6wq4sJRv,Mujhe Neend Na Aaye,"Anuradha Paudwal, Udit Narayan",https://open.spotify.com/track/4DjcBr310LtxxR6wq4sJRv,Anuradha Paudwal,"bhajan, marathi pop, devotional, ghazal",Dil,album,,https://i.scdn.co/image/ab67616d0000b273e2ad777cdc836dee5c5f32be
5EdPQ6eGCPF86wT7dpRctw,Humne Ghar Chhoda Hai,"Udit Narayan, Sadhana Sargam",https://open.spotify.com/track/5EdPQ6eGCPF86wT7dpRctw,Udit Narayan,"bollywood, hindi pop, desi",Dil,album,,https://i.scdn.co/image/ab67616d0000b273e2ad777cdc836dee5c5f32be
56Ne0akGQ4GHPxS9MOL57G,Nazar Ke Samne,"Anuradha Paudwal, Kumar Sanu, Super Cassettes Industries Private Limited, Sameer Anjaan",https://open.spotify.com/track/56Ne0akGQ4GHPxS9MOL57G,Anuradha Paudwal,"bhajan, marathi pop, devotional, ghazal",Aashiqui,album,,https://i.scdn.co/image/ab67616d0000b27349e862c57d46af9c26a97201
7eMALavv9CgU8R7ETPtDNK,"Kitna Haseen Chehra (From ""Dilwale"")",Kumar Sanu,https://open.spotify.com/track/7eMALavv9CgU8R7ETPtDNK,Kumar Sanu,"bollywood, hindi pop","Bollywood Best Trio - Kumar Sanu, Nadeem - Shravan",album,,https://i.scdn.co/image/ab67616d0000b27362e9e3154a09ddcb9c16c1c5
3TP9vvQ2eJZpkgwCzZXSGT,Mera Long Kho Gaya,"Kavita Krishnamurthy, Sudesh Bhosle",https://open.spotify.com/track/3TP9vvQ2eJZpkgwCzZXSGT,Kavita Krishnamurthy,"bollywood, gujarati garba, hindi pop",Sahebzaade (Original Motion Picture Soundtrack),album,,https://i.scdn.co/image/ab67616d0000b2733869a0d1249fd87829a736e4
6yN6AP2qkoGIjhF3VzUOkO,Kahin Pyaar Na Ho Jaaye,"Alka Yagnik, Kumar Sanu",https://open.spotify.com/track/6yN6AP2qkoGIjhF3VzUOkO,Alka Yagnik,"bollywood, hindi pop, desi",Kahin Pyaar Na Ho Jaaye (Original Motion Picture Soundtrack),album,,https://i.scdn.co/image/ab67616d0000b273ad58c580d484aaabd582e8ba
1Lrqw5TxQ4HxFGUn36KjVN,Dhin Tara,Kumar Sanu,https://open.spotify.com/track/1Lrqw5TxQ4HxFGUn36KjVN,Kumar Sanu,"bollywood, hindi pop",Kahin Pyaar Na Ho Jaaye (Original Motion Picture Soundtrack),album,,https://i.scdn.co/image/ab67616d0000b273ad58c580d484aaabd582e8ba
5FJY6H7z7pp72iOlpICpIG,Pardesi,"Sonu Nigam, Alka Yagnik",https://open.spotify.com/track/5FJY6H7z7pp72iOlpICpIG,Sonu Nigam,"kannada pop, bollywood, sandalwood, hindi pop, desi, marathi pop",Kahin Pyaar Na Ho Jaaye (Original Motion Picture Soundtrack),album,,https://i.scdn.co/image/ab67616d0000b273ad58c580d484aaabd582e8ba
6I3WZ9nhzLsQVacka3O0JM,O Priya O Priya,"Kamal Khan, Kumar Sanu, Alka Yagnik",https://open.spotify.com/track/6I3WZ9nhzLsQVacka3O0JM,Kamal Khan,"sufi, bollywood",Kahin Pyaar Na Ho Jaaye (Original Motion Picture Soundtrack),album,,https://i.scdn.co/image/ab67616d0000b273ad58c580d484aaabd582e8ba
5QgaJjy7azODIB1rfRPKxc,Kahin Pyaar Na Ho Jaaye,"Sonu Nigam, Alka Yagnik",https://open.spotify.com/track/5QgaJjy7azODIB1rfRPKxc,Sonu Nigam,"kannada pop, bollywood, sandalwood, hindi pop, desi, marathi pop",Kahin Pyaar Na Ho Jaaye (Original Motion Picture Soundtrack),album,,https://i.scdn.co/image/ab67616d0000b273ad58c580d484aaabd582e8ba
66dmB1OTqFLmU6RdIf6zjO,"Kahin Pyaar Na Ho Jaaye, Pt. 2","Kumar Sanu, Alka Yagnik",https://open.spotify.com/track/66dmB1OTqFLmU6RdIf6zjO,Kumar Sanu,"bollywood, hindi pop",Kahin Pyaar Na Ho Jaaye (Original Motion Picture Soundtrack),album,,https://i.scdn.co/image/ab67616d0000b273ad58c580d484aaabd582e8ba
6pyWKC0j5r4p1f6OTTBMs3,"Pardesi, Pt. 2",Sonu Nigam,https://open.spotify.com/track/6pyWKC0j5r4p1f6OTTBMs3,Sonu Nigam,"kannada pop, bollywood, sandalwood, hindi pop, desi, marathi pop",Kahin Pyaar Na Ho Jaaye (Original Motion Picture Soundtrack),album,,https://i.scdn.co/image/ab67616d0000b273ad58c580d484aaabd582e8ba
02fcjwBDIojIdeB6om1xpE,Dil Deewana,Lata Mangeshkar,https://open.spotify.com/track/02fcjwBDIojIdeB6om1xpE,Lata Mangeshkar,"ghazal, bollywood, bhajan, hindi pop, marathi pop",Maine Pyar Kiya,album,,https://i.scdn.co/image/ab67616d0000b273fd746356c5cae3f0702bacc6
56R9dZ7QxWhcfre5hoiPZV,Chhoti Chhoti Raatein,"Sonu Nigam, Anuradha Paudwal",https://open.spotify.com/track/56R9dZ7QxWhcfre5hoiPZV,Sonu Nigam,"kannada pop, bollywood, sandalwood, hindi pop, desi, marathi pop",Tum Bin,album,,https://i.scdn.co/image/ab67616d0000b2733a609c0033f8e08eb87e38fd
0f6bizmLkduIHB3PAemEBn,Tumhare Siva,"Anuradha Paudwal, Udit Narayan",https://open.spotify.com/track/0f6bizmLkduIHB3PAemEBn,Anuradha Paudwal,"bhajan, marathi pop, devotional, ghazal",Tum Bin,album,,https://i.scdn.co/image/ab67616d0000b2733a609c0033f8e08eb87e38fd
3eZxjrLfFLopT4ZLB3EJRc,Phool Phool Pe Bani Hai Teri Tasveer,Udit Narayan,https://open.spotify.com/track/3eZxjrLfFLopT4ZLB3EJRc,Udit Narayan,"bollywood, hindi pop, desi",Phool,album,,https://i.scdn.co/image/ab67616d0000b2736123b987736e2d04a4c1a0b9
4v1OZb7fGFOxCHVlLabjnZ,Chamiya,"Alka Yagnik, Sonu Nigam",https://open.spotify.com/track/4v1OZb7fGFOxCHVlLabjnZ,Alka Yagnik,"bollywood, hindi pop, desi",Dulhan Hum Le Jayenge (Original Motion Picture Soundtrack),album,,https://i.scdn.co/image/ab67616d0000b2733f5c33cc711eb4c935185ef0
5EqebeDhCvMolO1FovpaDx,Dulhan Hum Le Jayenge,"Alka Yagnik, Kumar Sanu, Sunita Rao",https://open.spotify.com/track/5EqebeDhCvMolO1FovpaDx,Alka Yagnik,"bollywood, hindi pop, desi",Dulhan Hum Le Jayenge (Original Motion Picture Soundtrack),album,,https://i.scdn.co/image/ab67616d0000b2733f5c33cc711eb4c935185ef0
